record_id,Tarih,Ýþ Emri No,Ýþ Merkezi No,Ýþmerkezi Adý,Ýþ Ýstasyon Adý,Stok Adý,Vardiya,A (Kullanýlýrlýk),P (Performans),Q (Kalite),OEE,Çalýþma Süresi,Duruþ Süresi,Planlý Duruþ Süresi,Plansýz Duruþ Süresi,Üretilen Miktar,Hatalý Üretilen Miktar
11457,11/29/2025,3028141365,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V363 BEV Base GOR SUBASSY,2,86.62,87.76,99.69,75.79,446.06,128.32,59.44,68.88,1305,4
11458,10/5/2025,3025448856,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,91.83,98135.28,99.06,89270.15,304.04,56.72,29.67,27.05,319,3
11459,10/5/2025,3027032985,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,D544 Upper Trim,3,85.72,90.39,98.69,76.47,461.17,127.78,50.98,76.8,1220,16
11460,9/21/2025,3024914738,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V363 BEV Base MIC Black Upper,2,0.0,0.0,0.0,0.0,168.26,57.74,9.64,48.1,0,0
11461,9/25/2025,3027331116,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,L663 Wheel Arch RR,3,73.53,82.21,97.2,58.76,220.64,83.77,4.33,79.44,429,12
11462,9/10/2025,3025761752,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt LH,2,86.61,84.04,98.91,71.99,224.44,75.87,41.17,34.7,367,4
11463,12/5/2025,3021219826,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V363 BEV Base GOR SUBASSY,1,78.97,91.88,99.45,72.16,211.65,103.26,46.91,56.35,366,2
11464,9/5/2025,3029428172,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Diffuser,1,91.9,91.43,98.72,82.95,235.29,24.46,3.72,20.74,392,5
11465,10/7/2025,3027367525,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,MCA-2-S-FR-Lower Bumper Unpainted,2,91.45,101.64,98.22,91.29,401.07,71.53,34.01,37.52,787,14
11466,12/17/2025,3029172737,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,U611 Tow Hook Cover,2,64.18,95.62,0.0,0.0,212.47,166.29,47.73,118.56,0,0
11467,11/20/2025,3023134728,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U611 Sensor Bracket,3,84.71,96.02,-53.33,-43.38,431.15,136.79,58.94,77.85,15,23
11468,10/26/2025,3028533133,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,,1,92.86,91.79,0.0,0.0,180.5,47.45,33.58,13.87,0,0
11469,9/29/2025,3027816315,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt RH,2,0.0,0.0,0.0,0.0,427.68,136.73,48.95,87.78,0,0
11470,10/11/2025,3029284509,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,91.18,22901.04,98.09,20481.96,453.87,51.18,7.28,43.9,366,7
11471,9/7/2025,3026658605,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,D544 Upper Trim,2,0.0,0.0,0.0,0.0,339.36,125.69,46.2,79.49,0,0
11472,11/3/2025,3027024075,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,B920 Rocker Molding LH,2,73.38,89.65,99.36,65.37,248.17,136.9,46.88,90.02,468,3
11473,11/10/2025,3022528662,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,,2,0.0,0.0,0.0,0.0,454.18,9.23,1.56,7.67,0,0
11474,12/2/2025,3022380757,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V363 BEV Base MIC Black Upper,2,0.0,0.0,0.0,0.0,439.54,48.31,20.25,28.06,0,0
11475,9/21/2025,3021719430,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V710 BEV/PHEV MIC White Upper,1,77.31,110.88,99.47,85.26,396.73,154.24,37.8,116.44,563,3
11476,9/23/2025,3025832100,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,3,97.73,89.34,99.22,86.63,275.83,49.38,42.97,6.41,892,7
11477,10/26/2025,3027570051,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V363 BEV Base MIC Black Upper,3,95.98,80.37,97.45,75.17,469.31,57.62,37.96,19.66,666,17
11478,9/6/2025,3021711132,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,97.25,72159.89,97.95,68736.9,425.19,46.95,34.91,12.04,1124,23
11479,10/16/2025,3021028609,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,,3,90.5,104.66,0.0,0.0,184.26,41.66,22.31,19.35,0,0
11480,12/1/2025,3027658291,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,D544 Upper Trim,3,84.09,81.27,98.27,67.16,427.75,134.6,53.69,80.91,1332,23
11481,11/16/2025,3024744365,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,D544 Upper Trim,3,77.38,98.98,98.16,75.18,190.83,111.62,55.83,55.79,653,12
11482,9/25/2025,3024130644,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P703 Fender Liner RR,2,73.77,83.25,98.43,60.45,200.79,92.45,21.04,71.41,511,8
11483,10/5/2025,3023776465,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P703 Fender Liner FR,2,0.0,0.0,0.0,0.0,238.18,10.83,9.49,1.34,0,0
11484,10/25/2025,3024910189,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,X590 Underbody Panel,3,0.0,0.0,0.0,0.0,98.7,77.57,4.14,73.43,0,0
11485,12/22/2025,3021757373,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,L663 Wheel Arch FR,2,72.86,81.34,98.28,58.24,310.73,138.48,22.72,115.76,407,7
11486,9/28/2025,3028912300,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P703 Fender Liner RR,1,0.0,0.0,0.0,0.0,329.83,35.62,20.59,15.03,0,0
11487,11/17/2025,3026685507,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,88.18,337066.93,98.31,292225.4,444.74,75.93,16.34,59.59,652,11
11488,10/27/2025,3022221092,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Skid Plate,1,79.92,95.58,98.68,75.38,388.69,123.87,26.21,97.66,532,7
11489,10/25/2025,3029150537,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,P703 Fender Liner RR,3,69.87,88.42,99.69,61.59,250.11,113.78,5.95,107.83,636,2
11490,11/26/2025,3029071667,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,,80.08,33858.37,97.62,26470.02,439.8,117.54,8.16,109.38,799,19
11491,12/2/2025,3029850764,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,L663 Wheel Arch FR,2,81.48,96.27,98.37,77.16,457.87,120.69,16.63,104.06,612,10
11492,12/19/2025,3029314471,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Air Deflector,3,0.0,0.0,0.0,0.0,117.9,120.26,47.28,72.98,0,0
11493,11/4/2025,3021474260,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J72 Air Deflector,3,0.0,0.0,0.0,0.0,353.6,62.37,15.8,46.57,0,0
11494,11/18/2025,3022612718,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Lower Grille,3,85.3,94.19,98.5,79.14,215.61,40.75,3.6,37.15,401,6
11495,10/3/2025,3027410336,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,97.03,48543.51,97.89,46109.13,310.68,26.7,17.2,9.5,616,13
11496,10/6/2025,3024799475,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,K131 Side Skirt RH,1,0.0,0.0,0.0,0.0,98.47,81.92,30.57,51.35,0,0
11497,12/25/2025,3026090540,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,B920 Rocker Molding RH,2,96.64,108.03,97.54,101.84,437.39,24.97,9.74,15.23,570,14
11498,12/25/2025,3023885284,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,B920 Rocker Molding LH,2,70.04,104.88,97.41,71.55,200.21,113.22,27.56,85.66,270,7
11499,12/5/2025,3029682240,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,L663 Wheel Arch RR,3,0.0,0.0,0.0,0.0,309.61,126.25,28.92,97.33,0,0
11500,12/1/2025,3024520402,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,,2,0.0,0.0,0.0,0.0,301.84,123.19,5.78,117.41,0,0
11501,9/14/2025,3026336429,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,X590 Underbody Panel,3,84.1,110.02,99.5,92.06,354.28,114.77,47.77,67.0,603,3
11502,11/6/2025,3023943469,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V363 BEV Base GOR SUBASSY,2,79.83,80.67,99.51,64.08,441.35,130.48,18.97,111.51,407,2
11503,11/8/2025,3021679563,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U725 Front Bumper Lower,1,98.41,79.65,97.18,76.18,201.01,40.14,36.9,3.24,355,10
11504,12/14/2025,3027408932,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt LH,3,89.72,92.25,98.8,81.77,405.58,65.7,19.25,46.45,415,5
11505,12/2/2025,3026535220,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U611 Tow Hook Cover,1,99.62,97.35,-306.25,-296.99,388.6,10.28,8.78,1.5,16,65
11506,10/24/2025,3027750082,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U725 Front Bumper Lower,3,0.0,0.0,0.0,0.0,427.7,63.04,25.99,37.05,0,0
11507,10/30/2025,3026030690,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U725 Front Bumper Lower,2,79.76,83.29,98.33,65.32,389.06,102.2,3.46,98.74,896,15
11508,12/16/2025,3024564491,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J72 Air Deflector,3,91.27,111.77,99.16,101.15,372.5,52.4,16.76,35.64,1184,10
11509,10/24/2025,3026234699,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,U611 Sensor Bracket,2,85.28,97.59,97.53,81.17,280.44,101.29,52.89,48.4,364,9
11510,11/13/2025,3028431073,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,D544 Upper Trim,2,84.36,87.03,99.85,73.31,299.49,68.24,12.71,55.53,663,1
11511,9/22/2025,3021511860,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,U725 Rear Bumper Cover,1,99.29,104.57,97.4,101.13,341.93,33.25,30.81,2.44,654,17
11512,10/24/2025,3026572306,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,L663 Wheel Arch RR,3,95.13,103.75,-28.57,-28.2,292.04,28.27,13.31,14.96,84,108
11513,12/4/2025,3024985338,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,X590 Underbody Panel,3,99.39,107.45,-227.27,-242.7,220.25,45.02,43.66,1.36,22,72
11514,12/29/2025,3026970370,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,,2,68.93,109.86,99.18,75.11,223.93,120.71,19.79,100.92,245,2
11515,10/23/2025,3024569375,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,CX430 Lower Grille,3,76.79,108.25,98.06,81.51,387.97,176.08,58.83,117.25,773,15
11516,9/2/2025,3029315179,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,D544 Lower Valance,3,86.21,84.86,97.75,71.51,415.93,118.55,52.0,66.55,1020,23
11517,12/13/2025,3022215274,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,X590 Underbody Panel,1,75.4,103.35,99.32,77.39,267.06,146.29,59.14,87.15,444,3
11518,12/23/2025,3022647119,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,K131 Side Skirt RH,2,0.0,0.0,0.0,0.0,108.75,122.43,10.26,112.17,0,0
11519,12/1/2025,3026449062,,INJECTION  EXTERIORS,IMM-2700-2,V710 BEV/PHEV MIC White Lower,1,91.92,103.88,97.2,92.81,285.49,29.87,4.77,25.1,857,24
11520,11/29/2025,3021354599,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V710 BEV/PHEV MIC White Upper,1,71.54,103.12,98.36,72.57,282.24,135.88,23.61,112.27,305,5
11521,10/1/2025,3021567864,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,P702 Hood Seal,3,78.16,81.24,98.39,62.47,309.4,95.71,9.24,86.47,498,8
11522,11/19/2025,3024419645,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P703 Fender Liner RR,2,0.0,0.0,0.0,0.0,212.19,59.93,41.01,18.92,0,0
11523,11/11/2025,3024623823,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt RH,3,88.64,103.08,98.6,90.08,367.12,92.46,45.39,47.07,356,5
11524,12/11/2025,3026218375,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V710 BEV/PHEV MIC White Lower,1,0.0,0.0,0.0,0.0,91.75,75.44,52.58,22.86,0,0
11525,9/30/2025,3025910765,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,K131 Side Skirt RH,3,0.0,0.0,0.0,0.0,464.4,74.57,13.91,60.66,0,0
11526,12/25/2025,3023821494,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,B920 Rocker Molding RH,1,83.52,99.4,-43.24,-35.9,310.52,94.47,33.2,61.27,74,106
11527,9/18/2025,3025893918,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,3,0.0,0.0,0.0,0.0,358.55,38.12,36.06,2.06,0,0
11528,10/7/2025,3021573690,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U611 Tow Hook Cover,3,98.76,108.77,98.21,105.5,442.12,24.03,18.49,5.54,782,14
11529,11/19/2025,3029156352,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,,3,77.56,86.18,99.06,66.22,318.92,103.33,11.08,92.25,638,6
11530,12/28/2025,3024670374,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,P703 Fender Liner FR,,81.9,84.88,97.96,68.1,253.48,89.95,33.94,56.01,490,10
11531,12/26/2025,3029804631,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt LH,3,85.16,83.26,98.15,69.59,307.87,76.38,22.71,53.67,325,6
11532,12/1/2025,3021774303,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V710 BEV/PHEV MIC White Upper,2,80.12,86.45,98.54,68.26,266.31,86.49,20.42,66.07,685,10
11533,12/23/2025,3026756992,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,J72 Air Deflector,1,92.65,106.48,98.71,97.38,292.97,46.34,23.11,23.23,927,12
11534,9/2/2025,3024107096,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,D544 Upper Trim,2,92.57,108.51,0.0,0.0,338.63,52.61,25.43,27.18,0,0
11535,9/29/2025,3023952270,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U611 Sensor Bracket,3,0.0,0.0,0.0,0.0,219.12,103.42,24.64,78.78,0,0
11536,11/23/2025,3024204309,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,D544 Lower Valance,3,91.3,107.56,98.03,96.27,292.81,57.37,29.48,27.89,965,19
11537,9/5/2025,3029720482,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,D544 Lower Valance,2,97.48,92.57,98.81,89.16,313.64,37.27,29.15,8.12,506,6
11538,9/20/2025,3029434645,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U725 Rear Bumper Cover,1,99.79,80.7,97.58,78.59,410.22,36.91,36.06,0.85,1116,27
11539,11/20/2025,3023201671,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,CX430 Skid Plate,3,0.0,0.0,0.0,0.0,252.84,108.75,4.87,103.88,0,0
11540,10/2/2025,3029914798,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,U725 Rear Bumper Cover,3,78.92,100.38,0.0,0.0,191.2,82.86,31.78,51.08,0,0
11541,12/7/2025,3023340220,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,2,94.72,92.68,100.0,87.79,295.5,53.3,36.84,16.46,1004,0
11542,10/8/2025,3022178458,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Air Deflector,3,87.06,90.62,99.32,78.36,461.38,72.33,3.77,68.56,1182,8
11543,12/21/2025,3021710395,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V710 BEV/PHEV MIC White Lower,3,84.01,81.84,100.0,68.76,345.67,88.87,23.09,65.78,327,0
11544,9/18/2025,3028867624,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U611 Sensor Bracket,3,0.0,0.0,0.0,0.0,76.8,112.62,33.38,79.24,0,0
11545,10/10/2025,3026200620,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,80.81,188805.46,100.0,152582.39,358.93,125.96,40.75,85.21,1017,0
11546,12/29/2025,3023458073,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,V710 BEV/PHEV MIC White Lower,2,85.12,111.05,98.59,93.19,271.05,76.47,29.08,47.39,639,9
11547,12/23/2025,3022928064,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,P703 Fender Liner RR,1,68.95,101.45,98.05,68.59,197.1,101.19,12.43,88.76,410,8
11548,11/2/2025,3028133189,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,V363 BEV Base MIC Black Upper,1,0.0,0.0,0.0,0.0,293.59,89.75,37.43,52.32,0,0
11549,11/24/2025,3023426327,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,72.55,272864.79,98.04,194081.11,277.25,158.26,53.37,104.89,662,13
11550,12/19/2025,3025355115,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt RH,1,86.59,86.31,99.71,74.52,273.2,54.55,12.23,42.32,695,2
11551,11/26/2025,3021304258,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch FR,2,92.92,85.62,-272.73,-216.98,235.49,66.78,48.84,17.94,22,82
11552,11/16/2025,3022084550,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,J72 Air Deflector,3,97.6,106.24,99.43,103.09,327.72,62.81,54.74,8.07,349,2
11553,11/29/2025,3021373847,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,U725 Front Bumper Lower,3,84.15,90.17,97.74,74.16,397.36,97.48,22.62,74.86,707,16
11554,12/4/2025,3023355461,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,K131 Side Skirt RH,1,87.48,93.77,98.14,80.51,413.84,84.54,25.32,59.22,1185,22
11555,12/11/2025,3025861660,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,,3,82.92,88.38,99.77,73.12,376.61,81.12,3.57,77.55,873,2
11556,11/11/2025,3022234642,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J72 Air Deflector,2,89.27,87.79,0.0,0.0,307.07,45.7,8.81,36.89,0,0
11557,12/24/2025,3026932844,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,CX430 Lower Grille,3,0.0,0.0,0.0,0.0,341.22,107.43,4.51,102.92,0,0
11558,11/18/2025,3027444264,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,P703 Fender Liner FR,1,95.0,91.2,-770.0,-667.13,197.68,60.0,49.6,10.4,10,87
11559,12/2/2025,3028119833,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch RR,2,91.83,97.22,98.23,87.69,280.64,42.33,17.37,24.96,789,14
11560,11/6/2025,3022397779,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,D544 Upper Trim,3,79.27,97.84,-800.0,-620.44,403.53,137.09,31.56,105.53,3,27
11561,10/27/2025,3022916310,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,3,95.46,134201.44,98.06,125623.33,279.55,22.46,9.16,13.3,877,17
11562,9/25/2025,3021526057,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch FR,3,76.11,100.59,-19.1,-14.62,252.3,88.85,9.66,79.19,89,106
11563,10/22/2025,3026718439,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Air Deflector,1,96.19,102.23,97.23,95.6,346.25,69.03,55.3,13.73,541,15
11564,11/23/2025,3023972190,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,D544 Lower Valance,3,0.0,0.0,0.0,0.0,436.65,120.65,36.97,83.68,0,0
11565,11/20/2025,3021279584,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,V363 BEV Base GOR SUBASSY,1,85.03,96.17,97.72,79.9,372.0,88.35,22.85,65.5,569,13
11566,9/21/2025,3024811418,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,P703 Fender Liner RR,1,89.68,94.16,97.99,82.74,419.18,75.69,27.43,48.26,894,18
11567,10/7/2025,3022414819,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,CX430 Skid Plate,1,81.35,80.86,97.96,64.44,460.49,115.24,9.7,105.54,539,11
11568,9/25/2025,3026947720,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,J72 Splash Shield,2,82.01,95.66,-211.11,-165.61,428.97,148.15,54.02,94.13,9,28
11569,10/25/2025,3029717704,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,U725 Rear Bumper Cover,3,90.73,100.91,99.77,91.35,464.83,60.39,12.9,47.49,1325,3
11570,10/3/2025,3024644905,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,L663 Wheel Arch RR,1,93.47,78.66,97.34,71.57,461.72,61.4,29.12,32.28,790,21
11571,10/19/2025,3027145064,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Splash Shield,2,0.0,0.0,0.0,0.0,195.22,77.57,23.02,54.55,0,0
11572,9/18/2025,3026744740,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,MCA-2-S-FR-Lower Bumper Unpainted,1,98.59,80.36,98.41,77.96,277.75,26.95,22.97,3.98,881,14
11573,9/22/2025,3028808824,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,J72 Splash Shield,2,76.52,101.84,-1380.0,-1075.36,344.92,109.15,3.3,105.85,5,74
11574,9/1/2025,3022422416,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,1,79.47,180958.25,99.08,142484.76,334.32,124.63,38.26,86.37,544,5
11575,11/22/2025,3025393823,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,MCA-2-S-FR-Lower Bumper Unpainted,2,85.79,84.64,100.0,72.62,267.49,78.17,33.88,44.29,592,0
11576,9/30/2025,3021875948,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-1,P703 Fender Liner FR,2,74.31,111.61,98.31,81.53,284.7,139.53,41.1,98.43,354,6
11577,12/15/2025,3028437242,,INJECTION  EXTERIORS,IMM-4000-1,U611 Tow Hook Cover,2,75.59,109.56,-9.72,-8.05,184.73,113.78,54.14,59.64,72,79
11578,10/28/2025,3025171972,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Splash Shield,2,77.12,87.54,98.92,66.78,393.21,174.9,58.25,116.65,369,4
11579,10/11/2025,3022422322,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,1,89.1,101.55,99.77,90.27,338.7,53.18,11.76,41.42,860,2
11580,10/30/2025,3028404284,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,V363 BEV Base GOR SUBASSY,1,71.86,97.71,98.61,69.24,232.22,108.94,18.01,90.93,575,8
11581,11/22/2025,3023544950,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,K131 Side Skirt LH,,72.68,108.67,99.49,78.58,258.62,98.23,1.02,97.21,392,2
11582,9/11/2025,3028666236,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-3,K131 Side Skirt RH,3,83.83,83.77,97.77,68.66,313.17,63.36,2.95,60.41,764,17
11583,12/20/2025,3021177162,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,,2,88.16,101.08,98.05,87.37,268.66,84.13,48.06,36.07,921,18
11584,11/21/2025,3025774805,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-1,K131 Side Skirt RH,2,82.11,98.27,97.64,78.79,191.46,53.93,12.21,41.72,509,12
11585,9/11/2025,3021221068,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,ICA-2-S-FR-Lower Bumper Unpainted,2,73.58,253142.97,99.57,185449.36,296.36,151.0,44.57,106.43,694,3
11586,11/2/2025,3021766760,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,J72 Air Deflector,2,88.82,80.12,97.77,69.58,453.95,80.42,23.3,57.12,1033,23
11587,12/7/2025,3022341773,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,K131 Side Skirt LH,3,75.84,88.65,98.33,66.11,376.49,177.68,57.76,119.92,778,13
11588,10/21/2025,3027890893,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-2700-2,X590 Underbody Panel,2,0.0,0.0,0.0,0.0,221.73,151.2,42.19,109.01,0,0
11589,10/15/2025,3021788345,INJECTION  EXTERIORS,INJECTION  EXTERIORS,IMM-4000-2,U611 Tow Hook Cover,1,97.35,93.11,97.51,88.39,235.48,25.99,19.58,6.41,682,17
